,item_name,item_price,item_count,item_index,item_category_id,item_sub_category_id
0,Deer Park Water,4.49,40,0,2,1
1,Gatorade,15.89,35,1,2,2
2,Hershey's Kisses,11.9,330,2,1,3
3,Lindt Truffles,10.79,51,3,1,3
4,Fruit Snacks,12.69,160,4,1,4
5,Nutella Go Packs,12.0,12,5,1,3
6,Frito Lay Variety,12.0,54,6,1,5
7,Pringles,13.0,60,7,1,5
8,Life Savers,7.0,376,8,1,6
9,Trail Mix,13.5,28,9,1,7
10,Oreos,9.69,30,10,1,8
11,Double Mint Gum,7.0,40,11,1,6
12,Fruit by the foot,13.0,48,12,1,4
13,Starburst,20.0,34,13,1,9
14,Skittles,20.0,34,14,1,9
15,Nutrigrain bars,8.79,48,15,1,7
16,Rice Krispeys,11.0,54,16,1,8
17,Utz Variety,10.0,48,17,1,5
18,Utz Salted,12.0,60,18,1,5
19,Spindrift,14.0,24,19,2,10
20,Caprisun,7.0,40,20,2,2
21,Cheezitz,11.0,45,21,1,5
22,York Peppermint Patty,13.0,175,22,1,6
23,Cliff Bar,19.89,24,23,1,7
24,Goldfish,10.0,45,24,1,5
25,Nature Valley Peanut,12.79,48,25,1,7
26,Popcorn,9.69,44,26,1,11
